date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:57	441/441	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2010:42:57%20GMT	http://themazine.com/html/pinaz/vendor/Camera-master/images/patterns/overlay10.png	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/vendor/Camera-master/images/patterns/overlay10.png	(from http://themazine.com/html/pinaz/vendor/Camera-master/css/camera.css)
16:12:58	57095/57095	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jul%202017%2005:26:02%20GMT	http://themazine.com/html/pinaz/vendor/bootstrap-mega-menu/css/animate.css	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/vendor/bootstrap-mega-menu/css/animate.css	(from http://themazine.com/html/pinaz/vendor/bootstrap-mega-menu/css/menu.css)
16:13:05	75220/75220	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Apr%202016%2001:39:34%20GMT	http://themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.6.1	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont914c.eot	(from http://themazine.com/html/pinaz/fonts/font-awesome/css/font-awesome.min.css)
16:13:11	75220/75220	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Apr%202016%2001:39:34%20GMT	http://themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://themazine.com/html/pinaz/fonts/font-awesome/css/font-awesome.min.css)
16:13:11	70728/70728	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Apr%202016%2001:39:34%20GMT	http://themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont914c.woff2	(from http://themazine.com/html/pinaz/fonts/font-awesome/css/font-awesome.min.css)
16:13:13	4414/4414	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Feb%202018%2001:06:20%20GMT	http://themazine.com/html/pinaz/fonts/icon/font/Flaticon.eot	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/icon/font/Flaticon.eot	(from http://themazine.com/html/pinaz/fonts/icon/font/flaticon.css)
16:13:13	89076/89076	---M--	200	added ('OK')	font/woff	date:Fri,%2015%20Apr%202016%2001:39:34%20GMT	http://themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.6.1	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/font-awesome/fonts/fontawesome-webfont914c.woff	(from http://themazine.com/html/pinaz/fonts/font-awesome/css/font-awesome.min.css)
16:13:13	3000/3000	---M--	200	added ('OK')	font/woff	date:Wed,%2021%20Feb%202018%2001:06:20%20GMT	http://themazine.com/html/pinaz/fonts/icon/font/Flaticon.woff	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/icon/font/Flaticon.woff	(from http://themazine.com/html/pinaz/fonts/icon/font/flaticon.css)
16:13:14	4414/4414	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Feb%202018%2001:06:20%20GMT	http://themazine.com/html/pinaz/fonts/icon/font/Flaticon.eot?	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/icon/font/Flaticond41d.eot	(from http://themazine.com/html/pinaz/fonts/icon/font/flaticon.css)
16:13:14	4236/4236	---M--	200	added ('OK')	font/ttf	date:Wed,%2021%20Feb%202018%2001:06:20%20GMT	http://themazine.com/html/pinaz/fonts/icon/font/Flaticon.ttf	C:/My%20Web%20Sites/finance1/themazine.com/html/pinaz/fonts/icon/font/Flaticon.ttf	(from http://themazine.com/html/pinaz/fonts/icon/font/flaticon.css)
